#,Company,Ticker,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF,Sector,Industry,Long Name
313,Iron Mountain,IRM,0.0005,91.48,Iron Mountain Incorporated,29809496349.0,6443114000.0,1047792000.0,41343000.0,0.14,-966113000.0,Real Estate,REIT - Specialty,Iron Mountain Incorporated
314,Mettler Toledo,MTD,0.0005,1310.26,Mettler-Toledo International Inc.,24810101747.0,3866627000.0,1089408000.0,829752000.0,39.44,848802000.0,Healthcare,Diagnostics & Research,Mettler-Toledo International Inc.
315,AvalonBay Communities,AVB,0.0005,189.28,"AvalonBay Communities, Inc.",27744755667.0,2980931000.0,899380000.0,1159873000.0,8.13,-460496000.0,Real Estate,REIT - Residential,"AvalonBay Communities, Inc."
316,Veralto,VLTO,0.0005,107.75,Veralto Corporation,25965069736.0,5362000000.0,1251000000.0,893000000.0,3.58,943000000.0,Industrials,Pollution & Treatment Controls,Veralto Corporation
317,Atmos Energy,ATO,0.0005,166.09,Atmos Energy Corporation,27040195535.0,4623219000.0,1525486000.0,1157879000.0,7.24,-1373760000.0,Utilities,Utilities - Regulated Gas,Atmos Energy Corporation
318,Western Digital,WDC,0.0005,76.4,Western Digital Corporation,37087574188.0,9520000000.0,2334000000.0,1840000000.0,5.12,1284000000.0,Technology,Computer Hardware,Western Digital Corporation
319,General Mills,GIS,0.0005,49.67,"General Mills, Inc.",27534552292.0,19156000000.0,4199100000.0,2919500000.0,5.29,2099800000.0,Consumer Defensive,Packaged Foods,"General Mills, Inc."
320,Expedia Group,EXPE,0.0004,208.22,"Expedia Group, Inc.",26341480236.0,14018000000.0,1393000000.0,1113000000.0,8.16,1997000000.0,Consumer Cyclical,Travel Services,"Expedia Group, Inc."
321,Cboe Global Markets,CBOE,0.0004,243.99,"Cboe Global Markets, Inc.",25469788458.0,4531800000.0,1298900000.0,896300000.0,8.52,-113100000.0,Financial Services,Financial Data & Stock Exchanges,"Cboe Global Markets, Inc."
322,Teledyne Technologies,TDY,0.0004,541.82,Teledyne Technologies Incorporated,27059821081.0,5909400000.0,1045300000.0,859000000.0,18.37,953000000.0,Technology,Scientific & Technical Instruments,Teledyne Technologies Incorporated
323,Williams-Sonoma,WSM,0.0004,206.24,"Williams-Sonoma, Inc.",24843157989.0,7829759000.0,1435212000.0,1112665000.0,8.86,1027703000.0,Consumer Cyclical,Specialty Retail,"Williams-Sonoma, Inc."
324,International Paper,IP,0.0004,48.02,International Paper Company,23928148545.0,21934000000.0,59000000.0,-27000000.0,-0.1,62000000.0,Consumer Cyclical,Packaging & Containers,International Paper Company
325,"HP Inc,",HPQ,0.0004,26.93,HP Inc.,24965886440.0,54711000000.0,3206000000.0,2640000000.0,2.74,2843000000.0,Technology,Computer Hardware,HP Inc.
326,PulteGroup,PHM,0.0004,128.02,"PulteGroup, Inc.",25875576830.0,17694541000.0,3535076000.0,2742435000.0,13.36,1317897000.0,Consumer Cyclical,Residential Construction,"PulteGroup, Inc."
327,FirstEnergy,FE,0.0004,43.63,FirstEnergy Corp.,26231460585.0,14050000000.0,3989000000.0,1308000000.0,2.27,-983000000.0,Utilities,Utilities - Regulated Electric,FirstEnergy Corp.
328,PPG Industries,PPG,0.0004,111.45,"PPG Industries, Inc.",23393805000.0,14619000000.0,1715000000.0,1011000000.0,4.43,807000000.0,Basic Materials,Specialty Chemicals,"PPG Industries, Inc."
329,CenterPoint Energy,CNP,0.0004,38.36,"CenterPoint Energy, Inc.",25337685915.0,8982000000.0,1973000000.0,936000000.0,1.43,-3028000000.0,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
330,Dollar General,DG,0.0004,113.7,Dollar General Corporation,22477227579.0,41651642000.0,1789549000.0,1191100000.0,5.4,1854527000.0,Consumer Defensive,Discount Stores,Dollar General Corporation
331,"PTC Inc,",PTC,0.0004,208.5,PTC Inc.,24313127204.0,2471978000.0,742789000.0,512727000.0,4.25,849781000.0,Technology,Software - Application,PTC Inc.
332,Verisign,VRSN,0.0004,266.84,"VeriSign, Inc.",26567272305.0,1598200000.0,1085000000.0,799500000.0,8.38,950000000.0,Technology,Software - Infrastructure,"VeriSign, Inc."
333,Tyler Technologies,TYL,0.0004,572.64,"Tyler Technologies, Inc.",22916645993.0,2245750000.0,339282000.0,306797000.0,7.0,605144000.0,Technology,Software - Application,"Tyler Technologies, Inc."
334,"The Trade Desk, Inc,",TTD,0.0004,50.61,"The Trade Desk, Inc.",23047663297.0,2679088000.0,475019000.0,417194000.0,0.83,745781000.0,Communication Services,Advertising Agencies,"The Trade Desk, Inc."
335,Dover Corporation,DOV,0.0004,179.41,Dover Corporation,23037216759.0,7829059000.0,1352749000.0,2292968000.0,16.57,896082000.0,Industrials,Specialty Industrial Machinery,Dover Corporation
336,Huntington Bancshares,HBAN,0.0004,16.75,Huntington Bancshares Incorporated,25414275121.0,7255000000.0,2598000000.0,1988000000.0,1.35,1936000000.0,Financial Services,Banks - Regional,Huntington Bancshares Incorporated
337,Northern Trust,NTRS,0.0004,127.96,Northern Trust Corporation,25493169914.0,7851000000.0,2281500000.0,1691800000.0,8.51,1759200000.0,Financial Services,Asset Management,Northern Trust Corporation
338,Eversource Energy,ES,0.0004,65.59,Eversource Energy,25892706178.0,12991135000.0,2549682000.0,857979000.0,2.32,-1013398000.0,Utilities,Utilities - Regulated Electric,Eversource Energy
339,Equity Residential,EQR,0.0004,63.6,Equity Residential,24643881618.0,3044764000.0,856040000.0,1010087000.0,2.65,17951000.0,Real Estate,REIT - Residential,Equity Residential
340,Steris,STE,0.0004,245.62,STERIS plc,24532040142.0,5571113000.0,927110000.0,646640000.0,6.53,918031000.0,Healthcare,Medical Devices,STERIS plc
341,Cincinnati Financial,CINF,0.0004,154.13,Cincinnati Financial Corporation,24535460612.0,11672000000.0,2299000000.0,1820000000.0,11.53,2588000000.0,Financial Services,Insurance - Property & Casualty,Cincinnati Financial Corporation
342,Darden Restaurants,DRI,0.0004,206.41,"Darden Restaurants, Inc.",22019547397.0,12364400000.0,1432300000.0,1100100000.0,9.32,1117100000.0,Consumer Cyclical,Restaurants,"Darden Restaurants, Inc."
343,"T, Rowe Price",TROW,0.0004,109.1,"T. Rowe Price Group, Inc.",22733935986.0,7097300000.0,2243200000.0,2038600000.0,8.95,1171600000.0,Financial Services,Asset Management,"T. Rowe Price Group, Inc."
344,Dollar Tree,DLTR,0.0004,113.78,"Dollar Tree, Inc.",20219309340.0,21778100000.0,1511400000.0,-2930800000.0,-13.57,2025600000.0,Consumer Defensive,Discount Stores,"Dollar Tree, Inc."
345,Ulta Beauty,ULTA,0.0004,528.22,"Ulta Beauty, Inc.",24750776928.0,11654555000.0,1581454000.0,1201376000.0,26.03,952124000.0,Consumer Cyclical,Specialty Retail,"Ulta Beauty, Inc."
346,Lululemon Athletica,LULU,0.0004,195.03,lululemon athletica inc.,20004422857.0,10904036000.0,2495268000.0,1785750000.0,14.66,1168145000.0,Consumer Cyclical,Apparel Retail,lululemon athletica inc.
347,Jabil,JBL,0.0004,217.76,Jabil Inc.,23163697778.0,28514000000.0,1065000000.0,577000000.0,5.28,1232000000.0,Technology,Electronic Components,Jabil Inc.
348,Hubbell Incorporated,HUBB,0.0004,439.1,Hubbell Incorporated,22596194627.0,5626400000.0,1137200000.0,830300000.0,15.4,785300000.0,Industrials,Electrical Equipment & Parts,Hubbell Incorporated
349,SBA Communications,SBAC,0.0004,216.8,SBA Communications Corporation,20855151905.0,2724524000.0,1427626000.0,878690000.0,8.14,1102219000.0,Real Estate,REIT - Specialty,SBA Communications Corporation
350,Regions Financial Corporation,RF,0.0004,25.94,Regions Financial Corporation,23762171467.0,6811000000.0,2592000000.0,1953000000.0,2.14,2384000000.0,Financial Services,Banks - Regional,Regions Financial Corporation
351,Leidos,LDOS,0.0004,179.25,"Leidos Holdings, Inc.",23722176687.0,17053000000.0,1999000000.0,1402000000.0,10.55,1339000000.0,Technology,Information Technology Services,"Leidos Holdings, Inc."
352,Smurfit WestRock,SW,0.0004,43.84,Smurfit Westrock Plc,21997128104.0,30806000000.0,1260000000.0,352000000.0,0.7,143000000.0,Consumer Cyclical,Packaging & Containers,Smurfit Westrock Plc
353,"NVR, Inc,",NVR,0.0004,8191.16,"NVR, Inc.",23052472044.0,10357069000.0,1970254000.0,1520068000.0,473.36,1210077000.0,Consumer Cyclical,Residential Construction,"NVR, Inc."
354,Expand Energy,EXE,0.0004,94.79,Expand Energy Corporation,25188668045.0,8535000000.0,460000000.0,206000000.0,-0.05,1192000000.0,Energy,Oil & Gas E&P,Expand Energy Corporation
355,Church & Dwight,CHD,0.0004,92.62,"Church & Dwight Co., Inc.",21120873857.0,6066000000.0,722200000.0,525200000.0,2.12,930600000.0,Consumer Defensive,Household & Personal Products,"Church & Dwight Co., Inc."
356,LabCorp,LH,0.0004,271.11,Labcorp Holdings Inc.,23318691000.0,13483800000.0,1191100000.0,763400000.0,9.07,1261800000.0,Healthcare,Diagnostics & Research,Labcorp Holdings Inc.
357,Corpay,CPAY,0.0004,318.38,"Corpay, Inc.",20951287436.0,4171325000.0,1863372000.0,1049753000.0,14.72,1928262000.0,Technology,Software - Infrastructure,"Corpay, Inc."
358,Insulet Corporation,PODD,0.0004,313.42,Insulet Corporation,22384826130.0,2359500000.0,407300000.0,236100000.0,3.28,382500000.0,Healthcare,Medical Devices,Insulet Corporation
359,NetApp,NTAP,0.0004,109.46,"NetApp, Inc.",23930252114.0,6590000000.0,1364000000.0,1171000000.0,5.65,1658000000.0,Technology,Software - Infrastructure,"NetApp, Inc."
360,CMS Energy,CMS,0.0004,72.43,CMS Energy Corporation,21504259518.0,8017000000.0,2099000000.0,1013000000.0,3.39,-1375000000.0,Utilities,Utilities - Regulated Electric,CMS Energy Corporation
361,CDW,CDW,0.0004,165.08,CDW Corporation,21542454656.0,21878300000.0,1671800000.0,1076700000.0,8.05,1018900000.0,Technology,Information Technology Services,CDW Corporation
362,Edison International,EIX,0.0004,56.02,Edison International,21169718725.0,17539000000.0,4694000000.0,2635000000.0,6.8,-379000000.0,Utilities,Utilities - Regulated Electric,Edison International
363,Devon Energy,DVN,0.0004,33.8,Devon Energy Corporation,23481252000.0,17163000000.0,4268000000.0,2844000000.0,4.45,-110000000.0,Energy,Oil & Gas E&P,Devon Energy Corporation
364,Global Payments,GPN,0.0004,87.44,Global Payments Inc.,20456631178.0,9485784000.0,2202561000.0,1429672000.0,5.71,3122126000.0,Industrials,Specialty Business Services,Global Payments Inc.
365,Citizens Financial Group,CFG,0.0004,48.96,"Citizens Financial Group, Inc.",23025409620.0,7208000000.0,2000000000.0,1453000000.0,3.29,1157000000.0,Financial Services,Banks - Regional,"Citizens Financial Group, Inc."
366,Lennox International,LII,0.0004,599.91,Lennox International Inc.,18332767225.0,5416600000.0,1047700000.0,834600000.0,23.39,682400000.0,Industrials,Building Products & Equipment,Lennox International Inc.
367,Texas Pacific Land Corporation,TPL,0.0004,916.02,Texas Pacific Land Corporation,21936345455.0,742873000.0,563699000.0,461746000.0,20.06,88882000.0,Energy,Oil & Gas E&P,Texas Pacific Land Corporation
368,ON Semiconductor,ON,0.0004,51.28,ON Semiconductor Corporation,20514135439.0,6398800000.0,473700000.0,465800000.0,1.07,1299900000.0,Technology,Semiconductors,ON Semiconductor Corporation
369,"Tapestry, Inc,",TPR,0.0003,97.54,"Tapestry, Inc.",22695881633.0,7010700000.0,415000000.0,183200000.0,0.82,1093900000.0,Consumer Cyclical,Luxury Goods,"Tapestry, Inc."
370,Zimmer Biomet,ZBH,0.0003,101.83,"Zimmer Biomet Holdings, Inc.",19460949468.0,7833800000.0,1260700000.0,823400000.0,4.1,-260400000.0,Healthcare,Medical Devices,"Zimmer Biomet Holdings, Inc."
371,Amcor,AMCR,0.0003,8.77,Amcor plc,18544150410.0,15009000000.0,956000000.0,511000000.0,0.32,828000000.0,Consumer Cyclical,Packaging & Containers,Amcor plc
372,KeyCorp,KEY,0.0003,18.28,KeyCorp,20713184199.0,4743000000.0,135000000.0,33000000.0,-0.08,1560000000.0,Financial Services,Banks - Regional,KeyCorp
373,NiSource,NI,0.0003,42.47,NiSource Inc.,20044297733.0,6130300000.0,1657400000.0,886600000.0,1.89,-1294800000.0,Utilities,Utilities - Regulated Gas,NiSource Inc.
374,Quest Diagnostics,DGX,0.0003,178.3,Quest Diagnostics Incorporated,21133512115.0,10522000000.0,1475000000.0,950000000.0,8.35,1224000000.0,Healthcare,Diagnostics & Research,Quest Diagnostics Incorporated
375,Tyson Foods,TSN,0.0003,55.98,"Tyson Foods, Inc.",19223956311.0,54146000000.0,1465000000.0,784000000.0,2.2,1550000000.0,Consumer Defensive,Farm Products,"Tyson Foods, Inc."
376,"Trimble Inc,",TRMB,0.0003,83.64,Trimble Inc.,19332609115.0,3575500000.0,515200000.0,286700000.0,1.16,287100000.0,Technology,Scientific & Technical Instruments,Trimble Inc.
377,GoDaddy,GDDY,0.0003,143.42,GoDaddy Inc.,19576691004.0,4752100000.0,1305400000.0,808500000.0,5.6,1453200000.0,Technology,Software - Infrastructure,GoDaddy Inc.
378,Loews Corporation,L,0.0003,95.43,Loews Corporation,20804867419.0,18061000000.0,2205000000.0,1349000000.0,6.3,3071000000.0,Financial Services,Insurance - Property & Casualty,Loews Corporation
379,Biogen,BIIB,0.0003,134.71,Biogen Inc.,20140447327.0,9997000000.0,1797700000.0,1530500000.0,10.46,1832300000.0,Healthcare,Drug Manufacturers - General,Biogen Inc.
380,Gen Digital,GEN,0.0003,31.75,Gen Digital Inc.,17737030454.0,4227000000.0,1639000000.0,597000000.0,0.97,1358000000.0,Technology,Software - Infrastructure,Gen Digital Inc.
381,First Solar,FSLR,0.0003,180.6,"First Solar, Inc.",23596628173.0,4343437000.0,1361619000.0,1257475000.0,11.7,-942701000.0,Technology,Solar,"First Solar, Inc."
382,Erie Indemnity,ERIE,0.0003,367.24,Erie Indemnity Company,14595283597.0,3973472000.0,697984000.0,624961000.0,11.96,564035000.0,Financial Services,Insurance Brokers,Erie Indemnity Company
383,Genuine Parts Company,GPC,0.0003,137.26,Genuine Parts Company,19151617961.0,23770865000.0,1175927000.0,808910000.0,5.81,319773000.0,Consumer Cyclical,Auto Parts,Genuine Parts Company
384,Weyerhaeuser,WY,0.0003,26.29,Weyerhaeuser Company,17705879940.0,7036000000.0,576000000.0,279000000.0,0.38,269000000.0,Real Estate,REIT - Specialty,Weyerhaeuser Company
385,McCormick & Company,MKC,0.0003,70.13,"McCormick & Company, Incorporated",17640343697.0,6742800000.0,1063700000.0,702400000.0,2.87,551800000.0,Consumer Defensive,Packaged Foods,"McCormick & Company, Incorporated"
386,Steel Dynamics,STLD,0.0003,127.04,"Steel Dynamics, Inc.",20554176762.0,17148071000.0,1290938000.0,1040972000.0,6.88,-107428000.0,Basic Materials,Steel,"Steel Dynamics, Inc."
387,Invitation Homes,INVH,0.0003,30.3,Invitation Homes Inc.,17887579860.0,2675332000.0,939849000.0,545011000.0,0.88,505414000.0,Real Estate,REIT - Residential,Invitation Homes Inc.
388,Gartner,IT,0.0003,244.23,"Gartner, Inc.",20001066102.0,6420009000.0,1168747000.0,1265344000.0,16.24,1511672000.0,Technology,Information Technology Services,"Gartner, Inc."
